gene_symbol_official,gene_symbol_fullname,count,idlist,Input Symbol,Official Symbol,Entrez Gene ID,Gene Name
CD4,cd4 molecule,2811,"['40524162', '40510337', '40486505', '40433376', '40404795', '40398500', '40377525', '40344985', '40335763', '40334959', '40330459', '40308596', '40269772', '40269740', '40251661', '40178976', '40147736', '40124361', '40114196', '40112557', '40108661', '40107628', '40069769', '40015206', '40005375', '39991146', '39976231', '39954666', '39935482', '39919350', '39899354', '39893935', '39889907', '39883843', '39842407', '39835620', '39827491', '39823793', '39819719', '39806529', '39793226', '39792949', '39789158', '39727007', '39720718', '39712033', '39708977', '39684323', '39654884', '39642442', '39641272', '39603245', '39586719', '39565990', '39541036', '39491657', '39486555', '39465765', '39452729', '39430765', '39413785', '39368762', '39367871', '39363312', '39357334', '39312202', '39206862', '39160510', '39154534', '39118298', '39110550', '39104632', '39104530', '39099206', '39096877', '39090138', '39088917', '39078797', '39064603', '39033814', '39012778', '39000566', '38985853', '38969796', '38964130', '38953031', '38888975', '38885222', '38870987', '38868766', '38860755', '38850242', '38835260', '38780248', '38753245', '38720893', '38716733', '38669951', '38669099', '38668845', '38662604', '38646480', '38636822', '38633258', '38593502', '38562928', '38545097', '38536779', '38533498', '38531201', '38529684', '38522155', '38517244', '38517239', '38488308', '38460893', '38432853', '38430552', '38428396', '38408095', '38404591', '38364104', '38357545', '38346426', '38341187', '38330580', '38329477', '38317082', '38302880', '38286859', '38270311', '38237889', '38226924', '38224350', '38197178', '38193647', '38193079', '38170088', '38158796', '38150744', '38149923', '38134372', '38128541', '38124410', '38104369', '38085279', '38066613', '38040079', '38035854', '38010286', '38009461', '37984505', '37957382', '37955826', '37935545', '37920466', '37877566', '37875239', '37871380', '37861563', '37845615', '37773029', '37772708', '37744293', '37741305', '37738689', '37724530', '37716165', '37661073', '37649460', '37647455', '37643819', '37632071', '37620751', '37612209', '37575977', '37569647', '37545446', '37523978', '37483624', '37463445', '37423172', '37405872', '37399906', '37366123', '37348189', '37345697', '37337301', '37332010', '37314209', '37261908', '37257578', '37248197', '37234775', '37155023', '37101273', '37095375', '37086780', '37077411', '37052343', '37012888', '36959535', '36951958', '36913985', '36907331', '36902388', '36877848', '36870403', '36852973', '36845110', '36806038', '36779500', '36749385', '36739569', '36731088', '36703970', '36640152', '36603305', '36602866', '36564872', '36535867', '36532037', '36514222', '36511699', '36506016', '36493400', '36480269', '36453923', '36435793', '36411667', '36377446', '36282697', '36269767', '36250055', '36189366', '36162982', '36158127', '36148245', '36137077', '36122933', '36106559', '36100984', '36084894', '36079813', '36058695', '36045686', '36036630', '36036157', '35983991', '35983056', '35975942', '35939675', '35922467', '35915740', '35914476', '35913500', '35910903', '35898496', '35870446', '35860804', '35859520', '35844488', '35843498', '35837398', '35832091', '35819838', '35788221', '35777130', '35770985', '35759301', '35759162', '35746693', '35732880', '35730394', '35730359', '35720398', '35699458', '35694535', '35692198', '35671626', '35664433', '35644157', '35632669', '35618635', '35616411', '35615364', '35604217', '35590149', '35586586', '35580115', '35579024', '35551291', '35546754', '35546431', '35535600', '35534212', '35509014', '35488549', '35474144', '35458518', '35446923', '35442221', '35435531', '35418681', '35401514', '35355199', '35325494', '35320704', '35317423', '35293102', '35276271', '35274144', '35264559', '35245365', '35234431', '35234328', '35220138', '35165181', '35132659', '35127555', '35109868', '35106944', '35042191', '35020851', '35008007', '35003053', '34995813', '34966070', '34960744', '34938286', '34933101', '34931551', '34912476', '34906298', '34902835', '34898369', '34897267', '34882304', '34876921', '34869064', '34839857', '34819367', '34814458', '34781719', '34762717', '34757843', '34755551', '34753870', '34736342', '34733114', '34712231', '34706742', '34699383', '34696507', '34693933', '34691288', '34668779', '34623326', '34620235', '34588390', '34581306', '34562096', '34512621', '34484194', '34477118', '34425963', '34417666', '34412756', '34402042', '34400523', '34398818', '34398236', '34385528', '34379873', '34379757', '34372784', '34369213', '34365077', '34270487', '34233227', '34208904', '34187389', '34161800', '34160839', '34157979', '34154408', '34122425', '34118121', '34100383', '34074256', '34057015', '34051632', '34051477', '34023853', '34019653', '34001691', '33998115', '33989514', '33988715', '33978194', '33944746', '33934376', '33930602', '33902220', '33900216', '33868224', '33859653', '33815410', '33780007', '33729144', '33724260', '33717146', '33716255', '33704828', '33689039', '33688003', '33660819', '33649856', '33631896', '33626622', '33613540', '33568508', '33563585', '33549126', '33468581', '33433817', '33430765', '33372823', '33339855', '33329592', '33329524', '33287944', '33285716', '33264454', '33252487', '33242353', '33230872', '33223959', '33191915', '33181788', '33175844', '33173092', '33154574', '33139385', '33104758', '33068867', '33059627', '33021569', '33016925', '33011239', '33005098', '32987482', '32966579', '32941433', '32936795', '32928820', '32907978', '32907380', '32903485', '32903436', '32897210', '32896310', '32891037', '32886726', '32829604', '32828299', '32817214', '32787942', '32738150', '32733454', '32719675', '32712664', '32711474', '32706554', '32697326', '32684215', '32671809', '32660590', '32642769', '32632229', '32628816', '32603416', '32538218', '32535113', '32531713', '32477364', '32444390', '32434988', '32425951', '32421784', '32404327', '32347939', '32334851', '32319203', '32318356', '32300019', '32290120', '32284611', '32271361', '32210244', '32209092', '32202067', '32194543', '32178764', '32156136', '32135221', '32132218', '32129161', '32097428', '32066392', '32058371', '32049789', '32049556', '32033605', '32028329', '32026472', '32023284', '32015556', '32011175', '31985098', '31954378', '31935201', '31889490', '31880383', '31867010', '31860776', '31858227', '31839084', '31838498', '31827139', '31821891', '31820723', '31792317', '31770216', '31743620', '31727535', '31723024', '31715124', '31687755', '31677350', '31668132', '31658288', '31657335', '31651545', '31636138', '31628890', '31626689', '31626046', '31624011', '31616411', '31608648', '31608052', '31605716', '31594403', '31591376', '31574798', '31572392', '31554515', '31551204', '31544982', '31543435', '31536782', '31525636', '31504335', '31488688', '31488581', '31484735', '31462310', '31445098', '31440240', '31420570', '31418284', '31373918', '31356153', '31316497', '31306584', '31306174', '31278527', '31277590', '31276515', '31263382', '31255803', '31250008', '31241541', '31229934', '31214184', '31182172', '31149947', '31148335', '31140990', '31099865', '31099257', '31083697', '31082373', '31071432', '31044245', '31043532', '31009807', '30995373', '30964806', '30948701', '30944395', '30863403', '30846697', '30810840', '30793572', '30785191', '30784917', '30744575', '30730978', '30728851', '30721149', '30714626', '30665429', '30651370', '30639137', '30626677', '30606136', '30595665', '30591013', '30590412', '30590047', '30587143', '30567494', '30522410', '30531316', '30518538', '30487276', '30481924', '30470767', '30470620', '30463978', '30453300', '30429857', '30429336', '30398361', '30391420', '30391142', '30379686', '30353737', '30343490', '30327490', '30324936', '30298072', '30271399', '30266573', '30261464', '30254309', '30237803', '30234792', '30226896', '30209173', '30185596', '30161254', '30156469', '30134290', '30131526', '30123776', '30114952', '30104244', '30069485', '30052667', '30032305', '30030795', '30030793', '30021561', '30005684', '29980222', '29978433', '29944697', '29910685', '29906512', '29892278', '29889816', '29879143', '29868038', '29793310', '29782877', '29778842', '29773345', '29757416', '29752615', '29743361', '29725333', '29720521', '29710792', '29702526', '29695270', '29677149', '29664837', '29661350', '29661225', '29643245', '29635527', '29633346', '29614069', '29593044', '29581081', '29550450', '29515037', '29514233', '29509894', '29488604', '29487057', '29483265', '29465561', '29463691', '29358849', '29338031', '29335060', '29316955', '29314720', '29309784', '29293942', '29263271', '29259979', '29244809', '29243878', '29243133', '29232699', '29212716', '29184963', '29182416', '29149705', '29142122', '29140110', '29084838', '29040162', '29032059', '29028770', '29023360', '28987599', '28980931', '28977585', '28969945', '28935850', '28915998', '28904342', '28893280', '28892065', '28871201', '28825944', '28796194', '28795668', '28768726', '28720147', '28711488', '28682942', '28660809', '28656011', '28647858', '28647827', '28636433', '28633555', '28607116', '28562715', '28472156', '28450993', '28445685', '28439500', '28419653', '28399686', '28397664', '28394856', '28382737', '28380038', '28363639', '28350802', '28346597', '28337880', '28329286', '28329242', '28303828', '28302457', '28301422', '28298605', '28296035', '28289286', '28272134', '28256637', '28240686', '28222098', '28219889', '28211096', '28210072', '28198350', '28193736', '28192453', '28164547', '28138558', '28132769', '28115288', '28114167', '28092665', '28072859', '28070527', '28069446', '28033393', '28029485', '27999069', '27993215', '27959728', '27941965', '27941849', '27938646', '27930660', '27926931', '27903948', '27903274', '27895272', '27880829', '27861506', '27835904', '27815422', '27781380', '27755949', '27754341', '27738167', '27683550', '27662621', '27661278', '27653601', '27650379', '27633969', '27625095', '27618275', '27605062', '27604829', '27600109', '27583591', '27583554', '27574993', '27569563', '27556404', '27543658', '27539575', '27537569', '27533014', '27515208', '27515003', '27509048', '27496124', '27484989', '27481854', '27480902', '27476742', '27459386', '27454384', '27448587', '27430272', '27428436', '27404187', '27391197', '27389933', '27352341', '27340674', '27334660', '27329680', '27286652', '27273158', '27252535', '27239104', '27199429', '27194435', '27188912', '27163159', '27156867', '27156806', '27140407', '27139002', '27132442', '27128502', '27116045', '27114439', '27113912', '27056672', '27032097', '27019338', '27018973', '27000298', '26985593', '26978146', '26971827', '26919324', '26908488', '26902275', '26899538', '26865417', '26860911', '26829644', '26825177', '26825083', '26799390', '26786705', '26761519', '26748374', '26730568', '30256579', '26718341', '26711758', '26711047', '26695971', '26647177', '26646162', '26643479', '26633181', '26607309', '26602156', '26584666', '26581981', '26577833', '26564392', '26563749', '26561568', '26554913', '26529661', '26491172', '26459351', '26431949', '26422187', '26416909', '26392625', '26380438', '26376757', '26372850', '26366739', '26365593', '26362089', '26335136', '26332118', '26329820', '26309018', '26300317', '26259914', '26232630', '26231059', '26223646', '26186129', '26181817', '26173605', '26165150', '26154734', '26150656', '26141042', '26116502', '26085162', '26081583', '26077756', '26068428', '26067806', '26063974', '26063417', '26063084', '26059660', '26053030', '26033637', '26024301', '26021186', '26005191', '26002800', '25996507', '25986158', '25972560', '25972484', '25959461', '25931237', '25929922', '25925198', '25921028', '25916731', '25907261', '25902671', '25888899', '25886277', '25883388', '25877550', '25876048', '25875604', '25875395', '25855300', '25853590', '25850866', '25845389', '25839960', '25833895', '25784441', '25769647', '25764310', '25746288', '25730507', '25728072', '25727345', '25719828', '25715104', '25691382', '25690781', '25677258', '25658925', '25635815', '25626734']",CD4,CD4,920,CD4 molecule
LCN2,lipocalin 2,54,"['40025014', '39901167', '39662594', '39512683', '39334187', '39197622', '39115719', '38912048', '38901729', '38761990', '38640713', '38423372', '38363924', '38093296', '37932342', '37822934', '37651673', '37060578', '36685531', '36054235', '35387718', '35365451', '35272594', '35032827', '34831270', '34712224', '34144116', '33863396', '33565395', '33431705', '33065981', '32908617', '32075600', '32073224', '31892161', '31514375', '31375129', '29630927', '29120575', '29022140', '28692472', '28070126', '27696085', '26066898', '25795726', '25227123', '24998227', '24919612', '23159059', '22786765', '21943033', '19949414', '19197227', '17490638']",LCN2,LCN2,3934,lipocalin 2
DUSP3,dual specificity phosphatase 3,8,"['40392484', '40341084', '38629726', '35045818', '28848068', '25876765', '24901344', '24303815']",DUSP3,DUSP3,1845,dual specificity phosphatase 3
NAMPT,nicotinamide phosphoribosyltransferase,13,"['39238407', '35705899', '35694583', '32618342', '32179075', '31681271', '30223098', '30009736', '28424540', '28370493', '23831038', '22700961', '21245135']",NAMPT,NAMPT,10135,nicotinamide phosphoribosyltransferase
ADRB2,adrenoceptor beta 2,5,"['38011291', '36860871', '30660782', '19850944', '19020966']",ADRB2,ADRB2,154,adrenoceptor beta 2
VWF,von willebrand factor,174,"['40390062', '39112634', '38921594', '38781871', '38150358', '37991024', '37778390', '37511541', '37145896', '37045474', '36916374', '36869357', '36696220', '36696178', '36044313', '35839244', '35551628', '35406712', '35241555', '35218003', '34914941', '34663245', '34514740', '34214123', '34172614', '34103921', '33896590', '33872468', '33611982', '33606732', '33503726', '33141764', '32931480', '32912405', '32539447', '32478907', '32122366', '32058372', '31964363', '31887837', '31822372', '31803186', '31758651', '31595873', '31525609', '31434239', '31432099', '31366975', '31140293', '31077821', '31013257', '30589495', '30325871', '30159948', '29864779', '29337416', '29315472', '29176262', '28863968', '28796276', '28506137', '28109962', '27769639', '27531787', '27297419', '27043086', '26970408', '26969493', '26829365', '26743539', '26574054', '26494840', '26304688', '26082008', '26081365', '26033126', '25973589', '25860876', '25809117', '25769494', '25701636', '25617260', '25569250', '25269519', '25183728', '25061708', '25016133', '24583948', '24569508', '24504734', '24430553', '24430552', '24238574', '24103487', '24051142', '23746745', '23742702', '23537039', '23481506', '22646240', '22610178', '22488005', '22091998', '22028651', '21909423', '21315003', '21057705', '20854731', '20608787', '20594471', '20390223', '20345726', '20196724', '20137594', '20016149', '20002549', '19551369', '19437231', '19359602', '19190805', '19187073', '18853140', '18827747', '18802014', '18559364', '18166799', '18083848', '18032692', '18006046', '17944029', '17764538', '17264961', '17237435', '17229645', '17217821', '17172982', '16624005', '16540959', '16377547', '16189276', '16175032', '15891336', '15201135', '14739127', '12871371', '12744488', '12576315', '12483072', '12012223', '12004252', '11208646', '10896250', '10381511', '10230894', '10225918', '10051263', '9763564', '9736787', '9517590', '9494853', '9412562', '9118662', '8972013', '8917025', '8874191', '8902937', '7881667', '7812545', '7744487', '8486040', '1514179', '2384595', '3322605', '6797063']",VWF,VWF,7450,von Willebrand factor
TRAFD1,traf type zinc finger domain containing 1,0,[],TRAFD1,TRAFD1,10906,TRAF-type zinc finger domain containing 1
ADRB3,adrenoceptor beta 3,0,[],ADRB3,ADRB3,155,adrenoceptor beta 3
CREB1,camp responsive element binding protein 1,2,"['40315317', '39403371']",CREB1,CREB1,1385,cAMP responsive element binding protein 1
JAK2,janus kinase 2,77,"['40415359', '40338919', '39922147', '39623277', '39616476', '39531908', '39400781', '39247818', '39147013', '39121587', '38701300', '38652962', '38518606', '38330817', '37781388', '37650558', '37240208', '37139806', '37122731', '36706631', '36108388', '35803318', '35726235', '35583012', '35576655', '35451739', '35437311', '35322092', '35313003', '35277830', '35257540', '35040907', '34867954', '34841450', '34821076', '34787735', '34214493', '34162128', '34142770', '34096077', '34015275', '32985358', '32943679', '32866582', '32693566', '32683850', '32641132', '32615888', '31545434', '31164200', '31084615', '30972748', '30870654', '30338847', '29455109', '29415882', '29333216', '29059148', '28650427', '28228106', '28182798', '28006751', '27521657', '26646099', '26535690', '24553546', '24228589', '23404057', '23236988', '21494108', '20706987', '20393690', '20349727', '18481258', '17327369', '16540952', '16081684']",JAK2,JAK2,3717,Janus kinase 2
MNX1,motor neuron and pancreas homeobox 1,0,[],MNX1,MNX1,3110,motor neuron and pancreas homeobox 1
NOTCH1,notch receptor 1,19,"['40414862', '40127740', '40053226', '39632849', '39422161', '38991958', '38181529', '37327514', '37205094', '36883500', '35190630', '32017192', '31692534', '31525636', '31146107', '30103197', '29951922', '29867921', '25798621']",NOTCH1,NOTCH1,4851,notch receptor 1
CD247,cd247 molecule,15,"['40411297', '39669564', '38404591', '37822934', '37575977', '37478215', '36918563', '36855106', '36527479', '35190763', '34397323', '33667236', '33015708', '31432183', '25557485']",CD247,CD247,919,CD247 molecule
KRT14,keratin 14,1,['38203647'],KRT14,KRT14,3861,keratin 14
ALG1,ALG1,0,[],ALG1,ALG1,56052,ALG1 chitobiosyldiphosphodolichol beta-mannosyltransferase
AQP9,aquaporin 9,6,"['39544938', '39133961', '38279209', '35774785', '33670755', '18174273']",AQP9,AQP9,366,aquaporin 9
NR3C1,nuclear receptor subfamily 3 group c member 1,0,[],NR3C1,NR3C1,2908,nuclear receptor subfamily 3 group C member 1
TFF1,trefoil factor 1,1,['23627615'],TFF1,TFF1,7031,trefoil factor 1
ADORA2B,adenosine a2b receptor,2,"['33914856', '27757725']",ADORA2B,ADORA2B,136,adenosine A2b receptor
MRC1,mannose receptor c type 1,6,"['39914692', '39216003', '36921490', '36070121', '24838383', '22510838']",MRC1,MRC1,4360,mannose receptor C-type 1
TLR6,toll like receptor 6,16,"['40076895', '32885941', '31002148', '26738805', '26556047', '25735844', '23677476', '22301633', '19940812', '19496026', '18662133', '18356597', '18249133', '17537666', '11936363', '11739528']",TLR6,TLR6,10333,toll like receptor 6
PRDX4,peroxiredoxin 4,3,"['31544965', '21283059', '20493180']",PRDX4,PRDX4,10549,peroxiredoxin 4
HSP90B1,heat shock protein 90 beta family member 1,1,['40021981'],HSP90B1,HSP90B1,7184,heat shock protein 90 beta family member 1
CD14,cd14 molecule,621,"['40486124', '40433376', '40419900', '40384854', '40375981', '40315317', '40124361', '40115073', '39993996', '39814939', '39447386', '39408970', '39405478', '39243130', '39238406', '39148395', '39096053', '39076981', '38892107', '38811190', '38729719', '38632402', '38632279', '38593502', '38504349', '38461810', '38409830', '38291374', '38278526', '38239341', '38203627', '37776443', '37294135', '37246003', '37041228', '36774230', '36725909', '36721090', '36680487', '36522357', '36459524', '36384100', '36347361', '36230982', '36203605', '36076989', '35933445', '35852392', '35782108', '35648304', '35632669', '35464399', '35413868', '35234046', '34965528', '34891115', '34830040', '34691286', '34645893', '34382103', '34270487', '34215697', '34163471', '34148985', '34131020', '34112308', '34103408', '34053236', '34041302', '34004605', '34001691', '33902220', '33859653', '33859641', '33679687', '33639371', '33559324', '33512240', '33450081', '33432735', '33320841', '33174372', '33166799', '33135636', '33107490', '33068867', '32907978', '32692213', '32678033', '32660590', '32605751', '32503419', '32456597', '32431703', '32393980', '32382753', '32300019', '32068982', '32066974', '31867010', '31772386', '31708326', '31686768', '31627725', '31584643', '31572392', '31537875', '31518916', '31487993', '31487992', '31359679', '31351116', '31350813', '31169935', '31159729', '31148335', '31135705', '31102985', '31082373', '30900217', '30844058', '30783117', '30660782', '30656902', '30571184', '30557659', '30444525', '30440016', '30353127', '30212590', '29980222', '29769838', '29635527', '29616457', '29570588', '29499723', '29476345', '29437288', '29426837', '29391069', '29364941', '29309784', '29251000', '29243133', '29240645', '29179781', '29126656', '28983468', '28961693', '28850598', '28845081', '28758124', '28682940', '28667164', '28641717', '28641299', '28562479', '28446249', '28389524', '28356347', '28341671', '28322834', '28249709', '28216642', '28211096', '28162006', '28146645', '28122493', '28119177', '28056845', '27993995', '27862204', '27861595', '27058048', '30609451', '27522992', '27444882', '27387474', '27349568', '27170331', '27126803', '27067215', '27060869', '27056672', '26982706', '26977050', '26911949', '26892459', '26727083', '26720209', '26655905', '26623644', '26612199', '26607226', '26561386', '26554913', '26525287', '26524880', '26473437', '26430882', '26422187', '26385579', '26367738', '26358827', '26241501', '26232159', '26192602', '26164388', '26119193', '26049198', '26026662', '26020644', '25956456', '25888119', '25780044', '25701366', '25672468', '25619264', '25608923', '25544031', '25541241', '25498125', '25463280', '25429809', '25398784', '25394369', '25346983', '25319385', '25280865', '25218163', '25130456', '25120287', '25113134', '25000179', '24942511', '24929004', '24897403', '24790148', '24761983', '24728213', '24711407', '24560955', '24531620', '24474800', '24462190', '24453977', '24393424', '24331941', '24310803', '24244013', '24074718', '24062059', '24026286', '24011901', '23990939', '23990136', '23899120', '23861166', '23817990', '23810420', '23774598', '23761634', '23687088', '23679576', '23677593', '23669326', '23660098', '23589304', '23565251', '23539743', '23510625', '23498057', '23430250', '23425749', '23414215', '23402023', '23357289', '23348516', '23308276', '23302299', '23263410', '23251501', '23218923', '23164809', '23133375', '23121673', '23036528', '23025769', '23018379', '22996209', '22970242', '22964230', '22951018', '22881229', '22829769', '22802339', '22684031', '22573811', '22493902', '22436412', '22427899', '22410854', '22349591', '22333700', '22228586', '22167001', '22089127', '22088821', '21740312', '21964028', '21948372', '21921835', '21880509', '21808137', '21805143', '21782178', '21735552', '21731690', '21720792', '21660935', '21560033', '21552185', '21438005', '21349174', '21276822', '21217012', '21183027', '21061042', '21030664', '20930711', '20723409', '20463618', '20406089', '20302880', '20233010', '20163933', '20151841', '20146986', '20092704', '19930904', '19887504', '19883512', '19876401', '19864597', '19846417', '19841036', '19799036', '19789445', '19620056', '19595251', '19556302', '19406662', '19353762', '19278583', '19278581', '19277509', '19129540', '19114856', '19109191', '19091080', '19077645', '19060757', '19025127', '19020966', '18991094', '18855560', '18727624', '18711002', '18598196', '18591229', '18558203', '18538934', '18497876', '18458077', '18419792', '18367379', '18354223', '18305141', '19548592', '18095551', '18067897', '17989521', '17944030', '17919500', '17877801', '17767165', '17709409', '17693935', '17676990', '17644211', '17616530', '17601777', '17577824', '17548602', '17537666', '17459221', '17456850', '17430119', '17414615', '17411370', '17405910', '17320193', '17302891', '17296162', '17210974', '17207357', '17206721', '17202362', '17185649', '17129388', '17092421', '17092412', '17067484', '17056586', '17039565', '16953560', '16916890', '16836770', '16784655', '16708116', '16701036', '16670636', '16651737', '16611358', '16574244', '16573003', '16521278', '16517212', '16512634', '16509825', '16444434', '16428069', '16332927', '16258819', '16205609', '16205322', '16051275', '16038043', '15996191', '15955567', '15908365', '15857562', '15767412', '15754199', '15645239', '15625444', '15520404', '15516734', '15373966', '15331624', '15328161', '15249240', '15190957', '15164448', '15132789', '14980445', '14765287', '14739370', '14733726', '14733720', '14720421', '14656690', '14609719', '14607686', '14508151', '12970043', '12951417', '12871178', '12860222', '12857774', '12831612', '12831456', '12803885', '12794411', '12791240', '12747235', '12627007', '12560783', '12557030', '12515653', '12508146', '12487394', '12476036', '12444160', '12427659', '12371983', '12353926', '12221212', '12218159', '12215155', '12214235', '12204946', '12185442', '12106783', '12046090', '12028567', '12006789', '12004237', '11983120', '11945146', '11936363', '11876759', '11874891', '11869172', '11861934', '11833086', '11825862', '11813607', '11760393', '11753218', '11753213', '11739528', '11739189', '11717588', '11688328', '11603926', '11549517', '11544322', '11531018', '11521070', '11509620', '11489942', '11444911', '11442320', '11396289', '11348014', '11332197', '11298126', '11257452', '11254735', '11254563', '11219189', '11207321', '11196689', '11035437', '11030163', '11028557', '11004705', '10890238', '10810211', '10799910', '10779788', '10777809', '10774960', '10758406', '10722369', '10709066', '10651843', '10648405', '10534342', '10399315', '10380895', '10358200', '10340170', '10221645', '10206146', '10202023', '10075859', '10066457', '9874667', '9835628', '9784508', '9704769', '9695742', '9675608', '9656461', '9629305', '9593762', '9575848', '9568466', '9560358', '9553985', '9511089', '9488406', '9446236', '9363686', '11038748', '9249916', '9209514', '9596930', '9130631', '8960643', '8920850', '8833900', '8811052', '8697639', '8816213', '8799955', '8612135', '8833041', '8627030', '8869831', '8924969', '8585740', '7533199', '8548203', '8524955', '8524945', '8524944', '8524943', '8524940', '8524939', '7542010', '7924371', '7520172', '7516310', '7515917', '8163930', '7518965', '7510014', '7693040', '7689946', '7687987', '7681594', '7682078', '7680670', '1373777', '1581555', '1373513', '1373512', '1724353']",CD14,CD14,929,CD14 molecule
